age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
10,3,19427,3,9,2,11,3,4,0,0,0,39,38,0
2,3,24116,3,9,2,7,3,4,1,0,0,29,25,0
28,3,15787,3,10,2,9,1,4,0,0,23,39,38,1
53,3,5486,3,9,2,12,2,4,1,0,0,39,38,0
14,3,14283,2,8,2,13,4,2,0,0,0,29,38,0
5,3,12798,3,9,0,7,0,4,1,0,0,23,38,0
19,3,5804,2,8,1,7,4,4,0,0,0,23,38,0
47,3,13628,4,6,0,2,0,4,1,0,67,39,38,0
26,3,12690,3,9,1,9,1,4,0,0,0,39,38,0
30,1,14306,3,9,1,0,4,4,0,0,0,37,25,0
17,3,16007,2,8,2,0,1,4,0,0,0,39,38,0
16,3,11249,5,12,2,3,2,1,0,0,0,39,29,0
4,3,23241,2,8,2,2,3,4,1,0,0,34,38,0
35,3,20871,2,8,1,9,1,4,1,0,0,44,38,1
31,3,14568,2,8,0,2,0,4,1,0,0,45,38,0
6,3,17867,5,12,2,5,1,4,1,0,0,39,38,0
54,5,27463,3,9,1,11,4,2,1,0,44,1,38,0
12,3,15107,2,8,1,2,1,4,1,0,0,59,38,0
25,3,19085,5,12,1,7,2,2,1,0,0,49,38,0
51,3,1213,4,1,1,9,1,4,0,0,0,19,38,0
8,3,20864,2,8,2,7,4,4,0,0,0,39,38,0
27,4,3426,1,13,1,3,4,1,0,0,0,39,38,0
11,3,4011,2,8,2,3,1,1,0,0,0,39,8,0
28,5,16404,1,13,0,11,0,4,1,0,0,39,38,1
19,3,17113,3,9,1,7,4,4,0,0,0,39,25,0
22,0,19642,3,11,2,3,1,4,1,0,0,41,38,0
29,6,5201,1,13,1,10,4,4,1,0,0,39,38,0
1,3,202,4,6,2,5,3,4,1,0,0,15,38,0
49,1,2233,3,10,1,9,1,4,0,0,0,19,38,0
10,3,7605,2,8,2,7,1,4,1,0,56,39,38,0
11,6,12792,2,8,0,10,0,4,1,0,0,39,38,0
34,3,4550,3,9,0,11,0,4,1,0,55,39,38,1
10,3,26965,5,12,2,2,1,4,1,0,0,49,38,0
11,6,9885,5,12,0,9,0,4,1,0,0,39,38,1
10,3,20917,2,8,1,11,4,4,0,0,0,24,38,0
4,3,23954,2,8,2,2,3,2,1,0,0,39,38,0
17,3,27420,2,8,2,5,1,2,1,0,0,39,38,0
1,3,14031,2,8,2,7,3,4,1,0,0,11,38,0
16,3,1135,5,12,0,9,0,4,1,0,0,64,38,0
27,1,13644,3,9,0,3,0,2,1,0,0,37,38,1
26,3,6499,3,9,1,0,1,4,0,0,0,39,38,0
13,3,27799,3,9,2,2,1,2,1,0,0,44,38,0
23,3,22782,4,3,0,6,0,4,1,0,0,39,25,1
20,0,394,3,9,0,0,0,4,1,0,0,41,38,1
17,3,23576,2,8,0,0,0,2,1,0,0,39,38,0
24,5,9266,5,12,1,3,1,4,0,0,0,39,38,0
36,3,8515,5,12,1,9,1,4,0,0,0,49,38,0
14,3,4924,1,13,0,9,5,4,0,0,0,49,38,0
41,6,5953,0,15,0,9,0,4,1,0,0,0,38,1
21,3,10436,3,9,1,6,1,2,0,0,0,27,38,0
7,3,10865,3,9,0,6,0,4,1,0,0,39,38,0
24,1,27585,5,12,0,2,0,2,1,0,0,39,38,0
30,3,7214,3,9,0,12,0,4,1,0,0,44,38,0
24,0,8127,5,12,0,12,0,4,1,0,0,23,38,0
6,3,15894,4,2,0,13,2,4,1,0,0,39,25,0
19,3,4865,3,9,1,2,1,4,1,0,0,39,38,0
23,0,2357,1,13,2,3,1,4,0,108,0,54,38,1
18,3,8865,1,13,0,9,2,4,1,94,0,39,38,1
7,5,745,2,8,2,11,1,4,1,0,0,39,38,0
9,3,26468,1,13,2,9,1,4,0,0,49,39,38,0
2,3,12185,2,8,2,9,3,4,1,0,0,39,21,0
34,3,21276,5,12,0,3,0,4,1,0,0,49,38,1
25,1,20977,3,9,2,9,1,4,0,0,13,39,38,0
20,6,1783,2,8,1,0,4,4,0,0,0,34,38,0
1,3,8967,4,6,2,11,3,4,0,0,0,39,38,0
19,3,7957,5,12,0,7,0,2,1,94,0,35,38,1
18,3,1067,2,8,1,2,1,4,1,0,0,59,38,0
41,4,17471,2,8,0,11,5,4,0,111,0,34,38,1
0,3,2750,4,6,2,11,3,4,0,0,0,11,38,0
27,1,11020,2,8,0,13,0,2,1,0,0,39,38,0
20,3,17235,2,8,0,2,0,4,1,0,0,39,38,1
18,3,10295,3,9,2,11,1,0,0,0,0,39,38,0
43,3,3866,2,8,0,2,0,1,1,0,0,39,38,0
37,4,7648,4,3,0,6,0,4,1,0,0,39,38,1
20,3,27801,5,12,2,3,1,2,1,0,0,59,38,1
33,3,23966,3,11,1,11,1,4,0,0,0,39,38,0
21,3,13834,5,12,0,11,0,4,1,0,0,49,30,0
28,3,5935,5,12,0,9,0,4,1,0,0,54,38,0
8,3,20990,4,5,2,2,1,4,1,0,0,39,38,0
14,3,15964,3,9,0,5,0,4,1,0,0,39,38,0
47,3,14560,4,1,1,9,1,4,1,0,0,39,38,0
73,3,2017,2,8,2,7,1,2,1,0,70,39,38,0
37,3,13009,2,8,0,0,0,2,1,0,0,19,38,0
36,1,8980,4,0,2,6,1,4,0,0,0,34,38,0
1,3,20241,2,8,2,11,3,4,0,0,0,39,38,0
43,3,135,4,5,1,9,1,0,0,0,0,9,38,0
49,5,11794,2,8,0,4,0,4,1,12,0,49,38,0
58,3,24002,3,10,1,0,1,4,0,0,0,19,3,0
48,3,13030,2,8,1,0,1,4,0,0,0,39,38,0
18,3,27619,4,6,1,13,1,2,1,62,0,39,38,0
24,3,8096,2,8,1,11,4,2,0,0,0,37,38,0
8,3,10887,3,9,2,0,1,4,1,0,0,41,38,0
16,3,6109,3,9,1,2,2,3,0,0,0,39,38,0
11,3,3329,3,14,2,9,1,4,1,0,0,54,38,1
42,6,21834,2,8,0,7,0,4,1,0,0,39,38,0
23,6,12169,3,9,2,0,1,4,0,0,0,37,38,0
24,3,13482,5,12,0,3,0,4,1,0,0,49,19,1
21,1,6561,1,13,0,3,0,4,1,0,0,69,38,1
6,3,6604,2,8,2,13,3,4,1,0,0,39,38,0
23,3,25259,5,12,0,9,0,4,1,0,0,39,38,1
24,5,15719,2,8,0,7,5,4,0,0,0,19,38,0
7,6,22139,3,11,0,10,0,4,1,0,0,49,38,0
3,3,7044,3,9,2,9,3,4,1,0,0,19,38,0
21,3,13401,3,9,1,2,1,4,1,0,41,39,38,0
39,3,16712,2,8,0,0,0,4,1,0,0,34,38,0
41,3,19742,2,8,0,0,0,4,1,0,0,44,38,1
15,3,14029,2,8,2,7,1,4,0,0,0,33,38,0
23,3,17158,3,11,0,12,0,4,1,0,55,59,38,1
28,3,10237,2,8,0,0,0,4,1,0,0,39,38,0
24,3,6286,3,14,0,9,5,4,0,0,0,39,38,1
25,3,26357,5,12,0,0,5,2,0,0,0,39,38,0
42,1,12261,4,5,1,7,4,2,0,0,0,29,38,0
2,1,286,3,9,2,0,3,4,1,0,0,39,38,0
41,3,21259,3,9,2,13,1,4,1,0,0,19,38,0
25,5,23525,2,8,0,4,0,1,1,0,0,39,0,1
3,3,6879,2,8,2,7,3,4,0,0,0,39,38,0
15,3,12410,2,8,1,7,1,4,0,0,0,29,38,0
28,3,14561,3,10,1,3,1,4,0,0,0,44,38,0
33,3,16820,4,3,1,2,1,4,1,0,0,39,38,0
19,3,9931,5,12,1,9,3,4,0,0,0,39,38,0
28,3,4728,2,8,0,11,0,4,1,0,0,59,38,0
0,3,20430,4,6,2,7,3,4,1,0,0,11,38,0
42,3,9545,3,9,0,11,0,4,1,68,0,39,38,0
9,3,26109,4,6,0,2,0,4,1,0,0,39,38,0
20,4,21146,3,9,0,3,0,1,1,0,0,73,36,1
2,3,18270,3,9,2,9,3,4,1,0,0,23,1,0
47,3,46,2,8,0,3,0,4,1,0,0,39,38,1
16,3,14242,5,12,2,9,1,4,0,0,0,44,38,0
16,3,18550,2,8,0,2,5,4,0,0,0,39,38,1
44,3,2976,2,8,0,3,0,4,1,0,0,39,38,1
0,3,15060,4,4,2,7,3,4,1,6,0,23,38,0
33,5,531,1,13,0,4,0,4,1,36,0,94,38,0
10,1,17318,1,13,2,9,3,4,1,0,0,34,38,0
13,3,2998,2,8,1,9,3,4,0,0,0,39,38,0
26,3,27382,2,8,0,5,0,2,1,0,0,39,38,0
27,3,12210,3,9,0,2,0,4,1,94,0,39,38,1
18,3,14914,3,9,2,3,1,4,0,0,0,39,38,0
8,3,15412,3,9,2,12,3,4,0,0,0,39,38,0
7,3,22427,3,9,0,6,5,4,0,94,0,47,38,1
5,3,959,5,12,2,9,1,4,0,0,0,14,10,0
25,1,4688,3,9,0,2,0,4,1,81,0,39,38,1
17,3,12807,3,11,1,11,4,2,0,0,0,44,38,0
43,3,12591,5,12,1,9,1,4,0,0,0,41,38,0
4,3,16962,2,8,2,5,3,4,1,0,0,39,38,0
40,0,26924,1,13,0,11,0,4,1,111,0,39,38,1
24,3,18407,3,14,0,9,0,4,1,0,0,59,38,1
33,3,12998,3,9,1,7,1,4,1,0,0,44,38,0
8,3,25934,5,12,2,3,1,4,0,0,0,39,38,0
33,3,15426,4,3,0,2,0,4,1,0,0,39,6,0
19,3,16309,5,12,0,9,0,4,1,0,0,44,38,0
14,3,7842,2,8,1,9,1,4,0,0,0,39,38,0
12,1,18398,5,12,2,10,1,4,1,0,0,55,38,0
4,3,19376,3,9,2,11,3,4,1,0,0,44,38,0
10,3,20590,5,12,2,12,4,2,0,0,0,39,38,0
48,3,6118,2,8,0,13,0,4,1,0,0,15,38,0
20,4,2393,5,12,1,11,1,4,0,0,0,59,38,0
22,3,10656,1,13,0,9,5,1,0,60,0,39,38,0
7,3,22352,2,8,2,2,3,4,1,0,0,39,38,0
21,3,12016,2,8,1,11,1,4,1,0,0,78,38,0
31,3,9565,5,12,0,0,0,4,1,97,0,39,38,1
4,3,10292,3,9,2,7,1,1,0,0,0,24,38,0
14,3,18154,2,8,0,13,0,4,1,0,0,44,38,1
38,3,19912,2,8,0,11,0,4,1,70,0,39,38,1
7,3,23540,3,9,0,0,5,1,0,0,0,39,24,0
26,3,12509,2,8,1,0,1,4,0,0,0,39,38,0
9,3,15431,3,11,2,12,1,4,1,0,0,44,38,0
29,3,3688,3,11,2,9,1,4,0,0,0,32,38,0
18,3,15414,3,11,0,0,0,4,1,0,0,39,38,1
24,4,965,3,9,0,4,0,4,1,0,0,53,38,1
9,3,2487,5,12,2,11,1,4,1,0,0,39,38,0
17,3,9236,1,13,0,3,0,1,1,94,0,34,35,1
2,3,27916,3,9,2,9,3,2,0,0,0,24,38,0
19,5,16939,5,12,1,9,1,2,0,0,0,39,38,1
5,3,16234,3,9,2,11,3,4,1,0,0,14,38,0
7,3,15156,3,9,2,6,1,4,1,0,0,39,38,0
60,5,8837,3,9,0,11,0,4,1,0,0,39,38,0
5,3,26506,4,2,0,6,2,4,0,0,0,39,25,0
12,3,26892,3,9,2,12,1,4,0,0,0,39,38,0
45,3,10899,2,8,1,7,1,4,0,0,0,23,38,0
22,5,12639,2,8,0,3,0,4,1,0,0,39,38,0
26,3,1927,3,9,0,2,0,4,1,0,19,49,38,0
18,3,14318,2,8,1,13,1,4,1,0,0,44,38,0
12,3,16314,4,6,2,3,1,4,0,0,0,39,38,0
59,5,12640,1,13,0,2,0,4,1,0,0,9,38,0
46,5,3427,2,8,0,4,0,4,1,0,0,44,38,0
6,3,17590,3,10,2,9,3,2,0,0,0,14,38,0
26,3,14573,3,9,0,9,5,4,0,0,50,49,38,1
41,5,24277,2,8,0,5,0,4,1,0,0,39,38,0
49,3,7880,2,8,2,13,1,4,1,24,0,54,38,0
24,3,17056,3,9,2,2,1,2,1,0,0,44,38,0
9,3,18743,5,12,2,0,1,4,1,0,0,39,38,0
30,3,13299,3,10,2,7,1,4,1,0,0,39,38,0
38,1,4761,4,5,0,0,0,4,1,0,0,39,38,0
36,3,20187,2,8,0,13,0,4,1,0,0,39,38,0
0,3,21963,4,2,2,7,2,4,1,0,0,47,25,0
13,3,4409,2,8,2,2,2,4,1,0,0,39,38,0
32,3,3040,1,13,2,9,1,4,1,0,0,59,38,0
2,3,5358,2,8,2,11,4,2,1,0,0,29,13,0
28,3,21376,2,8,0,7,0,2,1,0,0,39,38,0
9,3,4457,3,11,2,11,1,4,1,0,0,39,38,0
21,3,23252,3,10,0,2,0,4,1,94,0,39,38,1
19,6,7059,2,8,0,10,0,4,1,94,0,39,38,1
16,3,3820,2,8,2,4,1,4,1,0,0,19,38,0
5,6,23111,3,9,2,10,3,2,0,0,0,39,38,0
26,5,20143,5,12,2,11,1,4,1,0,0,41,38,0
50,3,1052,4,6,0,9,0,4,1,0,0,7,38,0
13,3,10103,3,10,1,9,4,4,0,0,0,39,38,0
39,3,5037,3,11,1,7,1,4,1,0,0,24,19,0
14,3,10543,5,12,2,9,3,4,1,0,0,24,38,0
16,3,6904,5,12,0,3,0,4,1,0,0,39,38,1
9,3,15204,2,8,0,7,0,4,1,0,0,39,38,0
16,3,6145,5,12,0,3,0,4,1,0,0,39,38,1
29,1,24578,4,6,0,13,0,4,1,0,0,29,38,0
42,3,25935,5,12,0,9,0,4,1,0,0,39,38,1
21,0,4492,2,8,0,0,0,4,1,0,0,39,38,1
48,3,11069,4,6,1,7,4,3,1,0,0,39,38,0
23,3,4559,3,10,0,12,0,4,1,0,0,39,38,1
25,3,6201,2,8,0,0,5,4,0,0,0,34,38,0
9,5,6790,4,4,0,2,0,4,1,0,0,39,31,0
19,3,25265,4,5,0,7,5,4,0,0,0,23,38,0
45,3,21915,1,13,0,9,0,4,1,0,0,39,38,1
26,3,13546,5,12,0,13,0,4,1,0,0,44,38,0
26,3,12682,5,12,1,3,1,4,1,0,23,44,38,1
5,3,26722,2,8,1,11,1,4,1,0,0,54,38,0
11,3,4281,2,8,0,2,0,4,1,0,0,39,38,0
39,5,13901,3,9,0,11,0,4,1,0,0,44,38,0
5,3,25702,3,11,2,11,1,4,0,0,0,14,38,0
40,3,17660,5,12,1,3,1,4,0,0,0,44,38,1
22,3,27404,2,8,1,11,4,4,0,0,0,39,38,0
9,0,14295,3,9,2,0,4,4,0,0,0,14,38,0
0,3,4118,4,6,2,7,3,4,1,0,0,9,38,0
23,6,14043,3,10,0,6,0,4,1,0,0,37,38,1
28,3,21098,2,8,0,6,0,2,1,0,0,39,38,0
27,3,10958,2,8,2,2,1,2,1,0,0,39,38,0
3,1,25363,3,9,2,0,3,4,0,0,0,9,38,0
16,3,21753,2,8,0,2,5,4,0,0,0,39,38,0
6,3,1015,3,9,2,11,1,4,1,0,0,39,38,0
29,5,3558,1,13,1,3,1,4,1,0,0,29,38,0
21,3,12462,2,8,0,11,0,4,1,0,0,49,38,0
37,3,12641,2,8,1,13,1,4,1,0,0,39,38,0
29,3,17903,4,2,1,2,1,4,0,0,77,44,38,0
8,3,25153,3,9,0,2,0,4,1,0,0,39,38,0
29,3,5850,3,9,1,11,1,4,0,0,0,39,38,0
19,1,6813,3,9,0,13,5,4,0,0,0,39,38,0
6,3,26452,2,8,2,7,1,4,0,0,0,24,38,0
12,3,8434,2,8,1,6,1,4,1,0,0,39,38,0
27,3,11130,3,9,0,0,5,4,0,0,81,5,38,1
2,3,188,3,9,2,0,3,4,0,0,0,15,38,0
2,3,19405,2,8,2,7,2,4,0,0,0,39,38,0
18,3,18374,2,8,0,7,5,4,0,0,0,39,38,1
10,3,23448,5,12,2,2,1,4,1,0,0,49,38,0
29,5,22341,3,11,1,2,1,4,1,0,0,39,38,0
17,6,4729,5,12,0,3,0,4,1,97,0,44,38,1
17,3,15735,2,8,2,7,1,4,0,0,0,34,38,0
27,3,6616,3,9,0,12,0,4,1,0,0,39,38,0
28,3,4630,3,9,1,5,4,4,0,0,0,39,38,0
3,3,8698,2,8,2,9,2,4,0,0,0,34,38,0
8,3,3925,5,12,0,3,0,4,1,0,0,54,38,1
35,4,8243,5,12,0,3,0,4,1,0,0,49,38,1
3,3,26804,3,9,2,5,3,4,1,0,0,39,38,0
11,3,5840,3,9,2,7,1,4,0,0,0,39,38,0
33,6,22872,5,12,0,10,0,4,1,0,0,39,38,1
17,3,19023,3,10,1,12,1,4,0,0,0,63,38,0
11,3,11659,4,3,0,5,0,3,1,0,67,39,32,0
24,3,27141,1,13,0,3,0,4,1,0,55,64,38,1
11,3,6017,2,8,0,0,0,4,1,0,0,39,38,0
29,5,24127,2,8,0,2,0,4,1,0,0,24,38,0
11,3,7426,3,9,0,9,5,4,0,0,50,39,38,1
15,3,25748,3,9,0,3,0,4,1,0,0,49,38,0
24,1,1456,3,9,1,7,1,2,0,0,0,23,38,0
7,3,20146,2,8,2,5,4,2,0,0,0,39,38,0
16,3,6959,3,9,1,3,4,4,0,0,0,39,38,0
29,3,14667,0,15,0,3,0,4,1,111,0,59,38,1
14,6,27930,3,9,0,6,0,4,1,0,0,39,38,0
18,3,4288,4,7,1,2,1,4,1,0,0,49,38,1
35,3,14995,4,1,0,6,0,4,1,0,0,39,25,0
13,3,26938,4,6,2,7,3,4,0,0,0,18,38,0
17,1,20290,4,6,1,6,1,2,1,0,0,39,38,0
17,6,20030,2,8,1,13,4,4,0,0,0,39,38,0
3,3,2595,3,9,0,11,0,4,1,0,0,29,38,0
0,3,12749,4,6,2,5,3,4,1,28,0,17,38,0
15,6,4266,5,12,0,3,5,4,0,0,0,39,38,1
12,3,14670,2,8,1,4,1,4,1,0,0,39,38,0
16,3,19094,4,5,2,2,4,4,0,0,0,34,38,0
8,3,8362,2,8,0,13,0,4,1,0,0,59,38,0
19,0,21000,1,13,2,9,1,4,1,0,15,39,38,0
6,3,16839,2,8,2,5,1,4,1,0,0,70,5,0
46,4,18557,2,8,0,3,0,4,1,0,0,39,38,1
30,1,22838,1,13,0,9,0,4,1,0,0,39,38,0
63,3,5751,2,8,1,9,1,4,1,0,0,23,38,0
0,3,16596,4,6,2,9,3,4,1,0,0,39,38,0
23,5,16767,5,12,1,9,1,4,0,27,0,39,38,0
13,3,450,3,11,0,7,5,4,0,0,0,24,38,1
10,3,6697,3,9,2,2,3,1,1,0,56,39,29,0
16,3,17242,1,13,0,9,0,4,1,0,0,49,38,1
17,1,22709,2,8,2,4,1,2,1,3,0,59,38,0
17,1,6779,3,9,2,10,1,4,0,0,0,39,38,0
6,3,3583,3,9,0,0,0,4,1,0,0,39,38,0
25,1,24956,3,9,0,0,5,4,0,0,0,39,38,0
12,3,25733,5,12,2,9,1,4,1,0,0,39,38,0
28,3,1643,2,8,1,0,1,4,0,0,0,27,38,0
7,0,15037,2,8,2,1,3,4,1,0,0,39,38,0
27,3,6734,3,9,0,9,0,4,1,0,0,39,38,1
10,3,26643,4,4,2,2,2,4,1,0,0,39,25,0
3,3,23320,3,9,2,11,1,4,1,0,0,34,38,0
27,3,22978,2,8,1,3,4,2,0,0,0,39,38,0
34,3,2363,2,8,0,2,0,0,1,0,0,39,38,0
